Receiver ID,Receiver Name,Average Quantity
739,Nancy Jones,50.0000
282,Lisa Pitts,50.0000
616,Christopher Wright,50.0000
99,Nancy Silva,50.0000
567,Peggy Knight,50.0000
429,Daniel Williams,50.0000
982,Thomas Villanueva,50.0000
279,Angela Wyatt,49.0000
772,Cassandra Yoder,49.0000
100,Melissa Little,49.0000
94,Timothy Patel DVM,49.0000
906,Christopher Gonzalez,49.0000
38,Alexander Mullins,49.0000
69,Scott Brown,49.0000
37,Angel Adams,49.0000
408,Jennifer Mccoy,49.0000
831,Samantha Ellison,48.0000
339,Dustin Johnson,48.0000
375,Melissa Smith,48.0000
842,Robert Stewart,48.0000
221,Rebecca Goodman,47.0000
98,Brian Cowan,47.0000
688,Jeffrey Turner,47.0000
2,Laurie Ramos,47.0000
385,William Barnes,47.0000
738,Matthew Morgan,47.0000
769,John Warner,46.5000
887,Jean Woods,46.5000
331,Shane Stein,46.0000
728,Dustin Stark,46.0000
156,Corey Mitchell,46.0000
347,Michael Keller,46.0000
458,Michael Vargas,46.0000
725,Edward Lopez,46.0000
610,Jimmy Morton,46.0000
250,Jamie Ferguson,45.0000
138,Christina Potter,45.0000
32,Audrey Perez,45.0000
483,Emily Sandoval,45.0000
861,Ashley Clark,45.0000
381,Yvette Huffman,45.0000
164,Aaron Scott,45.0000
694,Rachel Arnold,45.0000
454,Steven Griffin,44.5000
918,Katrina Cruz,44.0000
467,Nathan Gonzales,44.0000
58,Julia Madden,44.0000
350,Sylvia Stanley,44.0000
15,Donald Kelly,44.0000
150,Kelly Howe,44.0000
330,Kimberly Hamilton,44.0000
901,Donald Caldwell,43.5000
452,Tina Banks,43.0000
649,Cory Schmidt MD,43.0000
809,Karen Cain,43.0000
658,Frank Olson,43.0000
574,Mr. William Hunt,43.0000
743,Nicholas Tucker,43.0000
810,Cody Meyer,43.0000
655,Lauren Golden,43.0000
650,Nicholas Peterson,42.5000
380,Heather Silva,42.0000
392,Tracy Douglas,42.0000
112,Brady Lopez,42.0000
808,Pamela Finley,42.0000
473,Justin Powell,42.0000
999,Cheyenne Ramsey,42.0000
