Receiver ID,Name,No of Claims
45,Derek Potter,3
505,Alexandra Owens,3
482,Timothy Garrett,3
729,David Spence,2
601,Peter Gonzalez,2
90,Alvin West,2
423,Christine Bell,2
168,Kayla Johnson,2
420,Susan Green,2
600,Bruce Alexander,2
440,Alexander Walsh,2
353,Mrs. Stacey Morales MD,2
495,Andrea Meyer,2
747,Vanessa Johnson,2
590,Terry Fernandez,2
407,Arthur Thomas,2
1,Donald Gomez,2
849,Kyle Johnson,2
538,Ronald Norton,2
454,Steven Griffin,2
6,Mandy Sutton PhD,2
183,Nicole Walker,2
354,Kimberly Nelson,2
368,Debra Murray,2
473,Justin Powell,2
105,Trevor Wilson,2
843,Glenn Anthony,2
418,Miss Mary Turner,2
414,Dr. Matthew Hughes DDS,2
613,Renee Campbell,2
269,Mrs. Paula Jones,2
306,Donna Williams,2
806,James Miller,2
438,Jane Davis,2
571,Lydia Phillips,2
342,Kristina Vargas,2
905,Ann Odonnell,2
786,Robert Kim,2
781,Jason Taylor,2
742,Matthew Webb,2
181,Paul Evans,2
637,Benjamin Soto,2
850,Kristopher Mendoza,2
492,Julie Lewis,1
807,Taylor Miller,1
975,Danielle Bullock,1
739,Nancy Jones,1
97,Nathan May,1
88,Eric Ryan DDS,1
493,Chelsea Powell,1
526,Brian Morales,1
10,Mary Salazar,1
487,Micheal Peterson,1
546,Meagan Hughes,1
569,Danny Randolph,1
449,Mrs. Valerie Hartman,1
452,Tina Banks,1
295,Joseph Williams,1
149,Nathan Willis,1
817,Victoria Torres,1
479,Karen Reeves MD,1
44,Andrew Lawson,1
185,Shannon Pineda,1
324,Kristine Martin,1
151,Lisa Eaton,1
876,Jeremy Robinson,1
695,Janet Newton,1
624,Alvin Day Jr.,1
918,Katrina Cruz,1
310,Gary Adams,1
27,Johnny Page,1
373,Seth Esparza,1
500,Richard Patterson,1
995,Brittany Taylor,1
772,Cassandra Yoder,1
52,Cheryl Dillon,1
619,Taylor Estrada,1
467,Nathan Gonzales,1
840,Mary Anderson,1
560,Matthew Mendez,1
529,Amy Perez,1
499,Ricky Harmon,1
865,Katherine Houston,1
548,Gary Andrews,1
831,Samantha Ellison,1
936,Jacob Horton,1
462,Timothy Martin,1
612,Meredith Griffin,1
419,Teresa Jackson,1
272,Walter Carter,1
666,Meredith Hull,1
566,Michael Lewis,1
337,Jennifer Schmidt,1
297,Deanna Daniels,1
63,David Turner,1
390,Victor Crawford,1
339,Dustin Johnson,1
448,Nicholas Harrison,1
246,Kristi Wagner,1
294,Cynthia Horton,1
416,Ernest Cox,1
350,Sylvia Stanley,1
94,Timothy Patel DVM,1
949,Allison Pennington,1
398,Alex White,1
382,Patricia Stevens,1
221,Rebecca Goodman,1
480,Michael Roberson,1
301,Kristina Simpson,1
970,Brandon Rice,1
103,Karen Cruz,1
489,Erin Foster,1
138,Christina Potter,1
541,Amy Brown,1
242,Matthew Pearson,1
47,Taylor Dean,1
555,Mary Lewis,1
706,Shannon Jensen,1
800,Anthony Garcia,1
376,John Reeves,1
880,Kristen Foster,1
477,Jorge Young,1
109,Rachel Nguyen,1
213,Kelly Barber,1
964,Donald Moore,1
375,Melissa Smith,1
413,Dennis Schultz,1
837,Michelle Reed,1
199,Ashley Rivers,1
854,Christopher Diaz,1
417,Justin Santos,1
735,Kyle Scott,1
815,James Miller,1
267,Randall Robbins,1
104,Victor Reyes,1
503,Eileen Scott,1
586,Amy Barker,1
983,Joanna Black,1
32,Audrey Perez,1
